region,trending_date,category_title,videos_count
France,2017-11-24,Comedy,52
France,2017-11-25,Comedy,68
France,2017-11-26,Comedy,66
France,2017-11-27,Comedy,44
France,2017-11-28,Comedy,48
France,2017-11-29,Comedy,50
France,2017-11-30,Comedy,46
France,2017-12-01,Comedy,54
France,2017-12-02,Comedy,58
France,2017-12-03,Comedy,48
France,2017-12-04,Comedy,40
France,2017-12-05,Comedy,48
France,2017-12-06,Comedy,28
France,2017-12-07,Comedy,38
France,2017-12-08,Comedy,44
France,2017-12-09,Comedy,58
France,2017-12-10,Comedy,46
France,2017-12-11,Comedy,50
France,2017-12-12,Comedy,46
France,2017-12-13,Comedy,38
France,2017-12-14,Comedy,54
France,2017-12-15,Comedy,72
France,2017-12-16,Comedy,82
France,2017-12-17,Comedy,64
France,2017-12-18,Comedy,56
France,2017-12-19,Comedy,50
France,2017-12-20,Comedy,60
France,2017-12-21,Comedy,62
France,2017-12-22,Comedy,74
France,2017-12-23,Comedy,66
France,2017-12-24,Comedy,50
France,2017-12-25,Comedy,54
France,2017-12-26,Comedy,40
France,2017-12-27,Comedy,26
France,2017-12-28,Comedy,44
France,2017-12-29,Comedy,44
France,2017-12-30,Comedy,38
France,2017-12-31,Comedy,36
France,2018-01-01,Comedy,42
France,2018-01-02,Comedy,34
France,2018-01-03,Comedy,32
France,2018-01-04,Comedy,42
France,2018-01-05,Comedy,36
France,2018-01-06,Comedy,34
France,2018-01-07,Comedy,42
France,2018-01-08,Comedy,38
France,2018-01-09,Comedy,48
France,2018-01-12,Comedy,54
France,2018-01-13,Comedy,52
France,2018-01-14,Comedy,44
France,2018-01-15,Comedy,42
France,2018-01-16,Comedy,42
France,2018-01-17,Comedy,48
France,2018-01-18,Comedy,56
France,2018-01-19,Comedy,42
France,2018-01-20,Comedy,52
France,2018-01-21,Comedy,56
France,2018-01-22,Comedy,38
France,2018-01-23,Comedy,38
France,2018-01-24,Comedy,36
France,2018-01-25,Comedy,44
France,2018-01-26,Comedy,50
France,2018-01-27,Comedy,46
France,2018-01-28,Comedy,38
France,2018-01-29,Comedy,44
France,2018-01-30,Comedy,28
France,2018-01-31,Comedy,30
France,2018-02-01,Comedy,26
France,2018-02-02,Comedy,30
France,2018-02-03,Comedy,46
France,2018-02-04,Comedy,32
France,2018-02-05,Comedy,42
France,2018-02-06,Comedy,48
France,2018-02-07,Comedy,24
France,2018-02-08,Comedy,34
France,2018-02-09,Comedy,38
France,2018-02-10,Comedy,28
France,2018-02-11,Comedy,26
France,2018-02-12,Comedy,34
France,2018-02-13,Comedy,36
France,2018-02-14,Comedy,28
France,2018-02-15,Comedy,20
France,2018-02-16,Comedy,28
France,2018-02-17,Comedy,30
France,2018-02-18,Comedy,30
France,2018-02-19,Comedy,26
France,2018-02-20,Comedy,24
France,2018-02-21,Comedy,22
France,2018-02-22,Comedy,40
France,2018-02-23,Comedy,32
France,2018-02-24,Comedy,46
France,2018-02-25,Comedy,42
France,2018-02-26,Comedy,44
France,2018-02-27,Comedy,40
France,2018-02-28,Comedy,32
France,2018-03-01,Comedy,38
France,2018-03-02,Comedy,46
France,2018-03-03,Comedy,34
France,2018-03-04,Comedy,30
France,2018-03-05,Comedy,38
France,2018-03-06,Comedy,30
France,2018-03-07,Comedy,38
France,2018-03-08,Comedy,46
France,2018-03-09,Comedy,36
France,2018-03-10,Comedy,30
France,2018-03-11,Comedy,26
France,2018-03-12,Comedy,52
France,2018-03-13,Comedy,48
France,2018-03-14,Comedy,48
France,2018-03-15,Comedy,32
France,2018-03-16,Comedy,44
France,2018-03-17,Comedy,40
France,2018-03-18,Comedy,16
France,2018-03-19,Comedy,24
France,2018-03-20,Comedy,32
France,2018-03-21,Comedy,36
France,2018-03-22,Comedy,34
France,2018-03-23,Comedy,38
France,2018-03-24,Comedy,34
France,2018-03-25,Comedy,24
France,2018-03-26,Comedy,30
France,2018-03-27,Comedy,36
France,2018-03-28,Comedy,36
France,2018-03-29,Comedy,52
France,2018-03-30,Comedy,54
France,2018-03-31,Comedy,36
France,2018-04-01,Comedy,24
France,2018-04-02,Comedy,38
